epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3998,1.01634,3.88362,0.98092,0.53095,0.26014,0.30024,0.24648,0.77806,3.34481,0.8593,0.000149333,0.000149333,0.000149333
2,34.2333,0.90479,2.31458,0.93964,0.66599,0.58359,0.68814,0.56346,0.73008,1.88612,0.87768,0.00029802,0.00029802,0.00029802
3,51.1601,0.8721,1.67012,0.92161,0.76979,0.79424,0.84936,0.69206,0.71004,1.07415,0.86556,0.000443704,0.000443704,0.000443704
4,68.0144,0.83751,1.37858,0.91285,0.89008,0.86684,0.93632,0.77663,0.67147,0.78706,0.85706,0.000441486,0.000441486,0.000441486
5,84.8225,0.81017,1.20955,0.91133,0.9022,0.90338,0.9487,0.79696,0.63911,0.70696,0.85399,0.000436982,0.000436982,0.000436982
6,101.698,0.77586,1.09302,0.90348,0.92967,0.88646,0.95719,0.79691,0.63768,0.67811,0.84964,0.000432478,0.000432478,0.000432478
7,118.64,0.76248,1.00644,0.88914,0.95472,0.92108,0.96881,0.82292,0.60221,0.61558,0.83907,0.000427973,0.000427973,0.000427973
8,136.002,0.76268,0.96756,0.89709,0.94803,0.93203,0.97375,0.82189,0.60369,0.58003,0.83968,0.000423468,0.000423468,0.000423468
9,153.19,0.74379,0.91015,0.88959,0.94843,0.93977,0.97508,0.82834,0.59549,0.5783,0.83538,0.000418964,0.000418964,0.000418964
10,170.396,0.72331,0.87988,0.88874,0.94868,0.93169,0.97537,0.83096,0.59589,0.56727,0.83636,0.00041446,0.00041446,0.00041446
11,187.588,0.72139,0.85146,0.88564,0.95589,0.93277,0.97961,0.82908,0.60452,0.55154,0.83913,0.000409955,0.000409955,0.000409955
12,204.73,0.72784,0.82634,0.88542,0.94408,0.9238,0.9784,0.83994,0.57266,0.57108,0.83426,0.000405451,0.000405451,0.000405451
13,221.979,0.70784,0.81073,0.88206,0.96132,0.94796,0.98188,0.8417,0.58473,0.53093,0.8381,0.000400946,0.000400946,0.000400946
14,239.235,0.70136,0.76623,0.88152,0.96303,0.9334,0.98028,0.83918,0.58224,0.54169,0.8375,0.000396441,0.000396441,0.000396441
15,256.462,0.69566,0.75578,0.88014,0.95104,0.95746,0.98328,0.84482,0.57762,0.52467,0.83478,0.000391937,0.000391937,0.000391937
16,273.688,0.70237,0.74653,0.88588,0.96255,0.9543,0.98348,0.84699,0.57413,0.49766,0.83517,0.000387433,0.000387433,0.000387433
17,291.037,0.70534,0.72599,0.8807,0.96635,0.95671,0.98481,0.84722,0.57402,0.4807,0.83386,0.000382928,0.000382928,0.000382928
18,308.246,0.68409,0.70569,0.87976,0.96022,0.96291,0.98601,0.85231,0.57211,0.47865,0.83446,0.000378423,0.000378423,0.000378423
19,325.568,0.68253,0.68488,0.87711,0.96295,0.96559,0.98563,0.84864,0.57482,0.47757,0.83499,0.000373919,0.000373919,0.000373919
20,342.779,0.67578,0.66614,0.87109,0.97383,0.95274,0.98511,0.84477,0.58533,0.472,0.83716,0.000369415,0.000369415,0.000369415
21,359.943,0.68696,0.66398,0.87826,0.96872,0.96881,0.98631,0.85237,0.58166,0.46229,0.83723,0.00036491,0.00036491,0.00036491
22,377.243,0.67446,0.64465,0.87506,0.96312,0.95737,0.98687,0.85718,0.55576,0.47252,0.83319,0.000360406,0.000360406,0.000360406
23,394.514,0.66642,0.6353,0.8741,0.96909,0.96886,0.98747,0.85131,0.57416,0.44206,0.8351,0.000355901,0.000355901,0.000355901
24,411.742,0.67018,0.6271,0.87339,0.96171,0.94122,0.984,0.85661,0.55555,0.49245,0.82867,0.000351396,0.000351396,0.000351396
25,428.902,0.65337,0.61426,0.86562,0.97005,0.95038,0.98665,0.85966,0.54934,0.44894,0.82837,0.000346892,0.000346892,0.000346892
26,446.195,0.65594,0.60505,0.86656,0.97473,0.96581,0.98596,0.86025,0.55036,0.45487,0.82556,0.000342387,0.000342387,0.000342387
27,463.438,0.66284,0.60382,0.8725,0.98177,0.96479,0.98909,0.85837,0.56152,0.43188,0.83119,0.000337883,0.000337883,0.000337883
28,480.579,0.6587,0.59337,0.86898,0.9785,0.96993,0.98844,0.85834,0.55582,0.4229,0.82781,0.000333379,0.000333379,0.000333379
29,497.755,0.65243,0.58766,0.86536,0.97199,0.97148,0.98815,0.85997,0.56058,0.42902,0.83047,0.000328874,0.000328874,0.000328874
30,514.925,0.64484,0.57547,0.86245,0.97887,0.96973,0.98621,0.85585,0.55811,0.42884,0.82935,0.000324369,0.000324369,0.000324369
31,532.135,0.64066,0.56102,0.86218,0.96612,0.96264,0.98642,0.85972,0.55038,0.44257,0.82824,0.000319865,0.000319865,0.000319865
32,549.362,0.63973,0.56822,0.86503,0.97289,0.97362,0.98709,0.86085,0.54968,0.42528,0.82805,0.00031536,0.00031536,0.00031536
33,566.713,0.65321,0.56748,0.86714,0.97457,0.9641,0.98541,0.85912,0.5476,0.42858,0.82815,0.000310856,0.000310856,0.000310856
34,583.894,0.62926,0.54925,0.86126,0.9771,0.97209,0.98883,0.86885,0.54245,0.40752,0.82597,0.000306351,0.000306351,0.000306351
35,601.165,0.63189,0.54849,0.8562,0.97919,0.9692,0.98716,0.8679,0.5417,0.41023,0.82409,0.000301847,0.000301847,0.000301847
36,618.335,0.62346,0.52863,0.86071,0.97391,0.9701,0.98744,0.8706,0.53522,0.41726,0.82294,0.000297342,0.000297342,0.000297342
37,635.592,0.64236,0.54123,0.86264,0.97609,0.97326,0.98876,0.86933,0.53507,0.39868,0.82239,0.000292838,0.000292838,0.000292838
38,652.782,0.6321,0.52634,0.86376,0.98368,0.97403,0.98908,0.86855,0.54869,0.38962,0.82647,0.000288333,0.000288333,0.000288333
39,670.074,0.62789,0.5244,0.85953,0.98024,0.97393,0.98921,0.85977,0.58143,0.39698,0.83091,0.000283829,0.000283829,0.000283829
40,687.196,0.62545,0.51901,0.8611,0.97378,0.96887,0.98929,0.87075,0.52936,0.39403,0.82186,0.000279325,0.000279325,0.000279325
41,704.498,0.61804,0.51647,0.85806,0.97438,0.97229,0.98764,0.8705,0.53503,0.39761,0.82443,0.00027482,0.00027482,0.00027482
42,721.631,0.61722,0.50902,0.85942,0.97814,0.97078,0.98943,0.86784,0.55234,0.39633,0.82612,0.000270316,0.000270316,0.000270316
43,738.81,0.61768,0.50416,0.85779,0.9797,0.97943,0.99067,0.86817,0.55692,0.37624,0.82425,0.000265811,0.000265811,0.000265811
44,755.993,0.60867,0.48978,0.85512,0.97623,0.96239,0.98574,0.8699,0.52901,0.40517,0.82352,0.000261307,0.000261307,0.000261307
45,773.154,0.6084,0.49628,0.85548,0.96832,0.96759,0.98722,0.87026,0.52722,0.39673,0.82254,0.000256802,0.000256802,0.000256802
46,790.343,0.60122,0.4822,0.85376,0.97611,0.97608,0.98912,0.87384,0.5327,0.37923,0.82216,0.000252298,0.000252298,0.000252298
47,807.661,0.60182,0.47988,0.85522,0.97435,0.96609,0.9889,0.87221,0.52835,0.38955,0.82232,0.000247793,0.000247793,0.000247793
48,824.764,0.60217,0.4826,0.85749,0.9773,0.97527,0.98817,0.87642,0.51816,0.3806,0.8205,0.000243289,0.000243289,0.000243289
49,842.048,0.60169,0.48187,0.85672,0.9795,0.97213,0.98913,0.87381,0.52799,0.37607,0.82265,0.000238784,0.000238784,0.000238784
50,859.253,0.61445,0.49081,0.85876,0.9774,0.97016,0.98793,0.87544,0.51909,0.38261,0.82129,0.00023428,0.00023428,0.00023428
51,876.392,0.59197,0.46848,0.84918,0.97435,0.97622,0.98767,0.87601,0.52309,0.37728,0.82164,0.000229775,0.000229775,0.000229775
52,893.575,0.59614,0.47717,0.85352,0.98265,0.97392,0.99011,0.87881,0.51632,0.36175,0.82049,0.00022527,0.00022527,0.00022527
53,910.941,0.59175,0.46045,0.85376,0.97339,0.98083,0.98899,0.87339,0.53557,0.37199,0.82289,0.000220766,0.000220766,0.000220766
54,928.137,0.58785,0.46235,0.85347,0.97753,0.97904,0.98967,0.8785,0.51924,0.36518,0.82137,0.000216261,0.000216261,0.000216261
55,945.322,0.58457,0.45975,0.85221,0.97689,0.97709,0.98955,0.87983,0.51591,0.36209,0.81996,0.000211757,0.000211757,0.000211757
56,962.588,0.58324,0.46083,0.85258,0.97947,0.97541,0.9903,0.8754,0.53001,0.36196,0.8243,0.000207252,0.000207252,0.000207252
57,979.784,0.57749,0.44562,0.84893,0.97836,0.97492,0.98832,0.87706,0.51811,0.36233,0.82002,0.000202748,0.000202748,0.000202748
58,996.95,0.59829,0.46625,0.85771,0.97652,0.96991,0.98769,0.87372,0.52733,0.37596,0.82258,0.000198244,0.000198244,0.000198244
59,1014.18,0.58045,0.44603,0.85016,0.97739,0.98188,0.98725,0.87261,0.52844,0.36019,0.82227,0.000193739,0.000193739,0.000193739
60,1031.3,0.57891,0.44542,0.85159,0.97618,0.98078,0.98927,0.87832,0.52043,0.35769,0.82051,0.000189235,0.000189235,0.000189235
61,1048.5,0.57772,0.44328,0.84948,0.98421,0.97202,0.98826,0.87499,0.52761,0.3585,0.82114,0.00018473,0.00018473,0.00018473
62,1065.79,0.58326,0.44372,0.85009,0.97861,0.97082,0.98824,0.8813,0.50347,0.3581,0.81799,0.000180226,0.000180226,0.000180226
63,1083.06,0.57298,0.43399,0.85022,0.97567,0.97698,0.98915,0.87802,0.51625,0.3547,0.81857,0.000175721,0.000175721,0.000175721
64,1100.23,0.56746,0.42817,0.84893,0.97875,0.97869,0.98919,0.88149,0.51285,0.35733,0.81743,0.000171217,0.000171217,0.000171217
65,1117.49,0.56331,0.4285,0.84915,0.98272,0.97614,0.98907,0.87926,0.51051,0.35118,0.81728,0.000166712,0.000166712,0.000166712
66,1134.72,0.56966,0.43505,0.85129,0.97711,0.9731,0.988,0.87696,0.51913,0.3625,0.82141,0.000162207,0.000162207,0.000162207
67,1151.89,0.5754,0.43219,0.85208,0.98079,0.97797,0.99077,0.88281,0.51424,0.34355,0.8195,0.000157703,0.000157703,0.000157703
68,1169.14,0.55683,0.42067,0.84532,0.9803,0.97469,0.98968,0.88144,0.51043,0.34612,0.81789,0.000153198,0.000153198,0.000153198
69,1186.46,0.56556,0.42133,0.84884,0.97872,0.97855,0.9899,0.88069,0.5092,0.34385,0.81893,0.000148694,0.000148694,0.000148694
70,1203.63,0.56222,0.42116,0.85033,0.98089,0.97469,0.98992,0.88326,0.5106,0.34613,0.81906,0.00014419,0.00014419,0.00014419
71,1220.92,0.55034,0.41315,0.84602,0.97892,0.97387,0.98959,0.88522,0.50096,0.3471,0.81746,0.000139685,0.000139685,0.000139685
72,1238.22,0.55441,0.41755,0.84298,0.97809,0.97472,0.98896,0.88444,0.50788,0.34817,0.81746,0.000135181,0.000135181,0.000135181
73,1255.45,0.55087,0.40609,0.84499,0.97667,0.98199,0.99035,0.88607,0.50081,0.33846,0.81738,0.000130676,0.000130676,0.000130676
74,1272.8,0.55206,0.41384,0.84575,0.98121,0.97658,0.99024,0.88556,0.50433,0.33731,0.81752,0.000126172,0.000126172,0.000126172
75,1290.04,0.55841,0.40938,0.84694,0.9803,0.97639,0.98823,0.88566,0.50429,0.34323,0.81672,0.000121667,0.000121667,0.000121667
76,1307.33,0.54106,0.40672,0.84291,0.97917,0.97559,0.98859,0.88498,0.51092,0.34553,0.81906,0.000117163,0.000117163,0.000117163
77,1324.55,0.54232,0.40009,0.84241,0.98358,0.9693,0.98765,0.8846,0.50719,0.34537,0.81771,0.000112658,0.000112658,0.000112658
78,1341.78,0.54421,0.40002,0.84309,0.97803,0.9805,0.98921,0.88467,0.50232,0.33685,0.81695,0.000108154,0.000108154,0.000108154
79,1359.02,0.55009,0.40086,0.84559,0.98022,0.97797,0.9891,0.88682,0.5052,0.33545,0.81687,0.000103649,0.000103649,0.000103649
80,1376.27,0.54453,0.39238,0.8461,0.9775,0.97992,0.98977,0.88507,0.50703,0.33274,0.81572,9.91445e-05,9.91445e-05,9.91445e-05
81,1393.48,0.54729,0.39429,0.84526,0.98268,0.97715,0.98987,0.88769,0.49845,0.32665,0.81539,9.464e-05,9.464e-05,9.464e-05
82,1410.73,0.53234,0.39283,0.83961,0.98,0.97852,0.98958,0.88539,0.50534,0.33092,0.81666,9.01355e-05,9.01355e-05,9.01355e-05
83,1428.05,0.5398,0.39211,0.83925,0.97882,0.97664,0.98898,0.88623,0.49845,0.33429,0.81615,8.5631e-05,8.5631e-05,8.5631e-05
84,1445.29,0.5405,0.39414,0.84329,0.98407,0.97437,0.98981,0.8886,0.49965,0.33168,0.81573,8.11265e-05,8.11265e-05,8.11265e-05
85,1462.61,0.53662,0.39057,0.84029,0.98019,0.98028,0.98997,0.88981,0.49423,0.32704,0.81425,7.6622e-05,7.6622e-05,7.6622e-05
86,1479.84,0.5272,0.38431,0.83979,0.98106,0.98011,0.98975,0.88775,0.49795,0.32641,0.8157,7.21175e-05,7.21175e-05,7.21175e-05
87,1497.12,0.52833,0.38161,0.84039,0.98142,0.97731,0.98967,0.88926,0.50131,0.33046,0.81611,6.7613e-05,6.7613e-05,6.7613e-05
88,1514.35,0.5296,0.37978,0.83619,0.98205,0.98077,0.99059,0.89216,0.49479,0.32092,0.8145,6.31085e-05,6.31085e-05,6.31085e-05
89,1531.58,0.52185,0.38302,0.84177,0.98191,0.98023,0.98994,0.889,0.49554,0.32345,0.81524,5.8604e-05,5.8604e-05,5.8604e-05
90,1548.8,0.5187,0.37702,0.83825,0.98108,0.9829,0.9896,0.89086,0.4934,0.32083,0.81426,5.40995e-05,5.40995e-05,5.40995e-05
91,1566.47,0.46695,0.32613,0.81836,0.97774,0.98317,0.98874,0.88547,0.5,0.32927,0.81538,4.9595e-05,4.9595e-05,4.9595e-05
92,1583.57,0.46525,0.32022,0.81969,0.98051,0.97824,0.98853,0.8884,0.49653,0.32745,0.8156,4.50905e-05,4.50905e-05,4.50905e-05
93,1600.67,0.45952,0.31534,0.81409,0.98007,0.98109,0.9893,0.88815,0.49302,0.32421,0.81441,4.0586e-05,4.0586e-05,4.0586e-05
94,1617.7,0.46773,0.32076,0.81921,0.98371,0.97965,0.99007,0.88967,0.49437,0.31932,0.81393,3.60815e-05,3.60815e-05,3.60815e-05
95,1634.78,0.45821,0.31331,0.81514,0.97708,0.9837,0.98968,0.88809,0.49721,0.3182,0.81449,3.1577e-05,3.1577e-05,3.1577e-05
96,1651.82,0.45176,0.30842,0.81478,0.97932,0.98228,0.98977,0.89024,0.49136,0.3176,0.81388,2.70725e-05,2.70725e-05,2.70725e-05
97,1668.96,0.45573,0.31062,0.81335,0.97705,0.98406,0.99003,0.89084,0.4903,0.31588,0.81358,2.2568e-05,2.2568e-05,2.2568e-05
98,1686.11,0.45309,0.30862,0.81506,0.9822,0.97954,0.9901,0.88922,0.49155,0.31602,0.81369,1.80635e-05,1.80635e-05,1.80635e-05
99,1703.16,0.45132,0.30898,0.81451,0.98334,0.97843,0.98991,0.89054,0.49374,0.31566,0.81423,1.3559e-05,1.3559e-05,1.3559e-05
100,1720.24,0.44974,0.30784,0.81398,0.98155,0.97987,0.99009,0.89077,0.49053,0.31398,0.814,9.0545e-06,9.0545e-06,9.0545e-06
