epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.4469,1.17261,3.17172,1.03656,0.68809,0.73294,0.75914,0.60935,0.77656,1.36036,0.8969,0.000150889,0.000150889,0.000150889
2,97.6721,1.05642,1.52444,0.98243,0.87659,0.86715,0.92426,0.74722,0.71405,0.80166,0.8681,0.00029956,0.00029956,0.00029956
3,147.102,1.02088,1.21783,0.9659,0.90571,0.87513,0.95494,0.7904,0.67219,0.74553,0.8534,0.000445229,0.000445229,0.000445229
4,196.516,0.98728,1.12198,0.95895,0.94565,0.92302,0.97466,0.80898,0.6652,0.62952,0.85657,0.000441486,0.000441486,0.000441486
5,246.136,0.95617,0.97912,0.95472,0.94309,0.93001,0.97179,0.81853,0.63353,0.60679,0.84917,0.000436982,0.000436982,0.000436982
6,295.825,0.94996,0.89938,0.95368,0.95809,0.94333,0.97761,0.82831,0.61053,0.55507,0.84579,0.000432478,0.000432478,0.000432478
7,345.552,0.93595,0.83279,0.94719,0.96259,0.95105,0.98359,0.8282,0.64605,0.53287,0.84802,0.000427973,0.000427973,0.000427973
8,395.266,0.92186,0.8022,0.94103,0.94536,0.95468,0.98024,0.82365,0.64333,0.5368,0.84793,0.000423468,0.000423468,0.000423468
9,444.961,0.9007,0.7421,0.94002,0.96813,0.95413,0.98274,0.83556,0.61104,0.49051,0.83978,0.000418964,0.000418964,0.000418964
10,494.511,0.90582,0.7307,0.93981,0.96731,0.95589,0.98404,0.83449,0.60331,0.48422,0.83836,0.00041446,0.00041446,0.00041446
11,544.13,0.88782,0.69917,0.93131,0.95501,0.96587,0.98519,0.84041,0.59229,0.47519,0.83888,0.000409955,0.000409955,0.000409955
12,593.873,0.8855,0.6836,0.93468,0.96749,0.94636,0.98561,0.85009,0.57639,0.4686,0.83412,0.000405451,0.000405451,0.000405451
13,643.574,0.87765,0.67225,0.93351,0.96997,0.96255,0.98706,0.83359,0.63953,0.46978,0.84555,0.000400946,0.000400946,0.000400946
14,693.237,0.86556,0.64549,0.92905,0.95879,0.9635,0.98516,0.84163,0.60041,0.45442,0.8378,0.000396441,0.000396441,0.000396441
15,742.864,0.85256,0.62912,0.9248,0.97107,0.95459,0.98664,0.85143,0.58532,0.45682,0.83679,0.000391937,0.000391937,0.000391937
16,792.517,0.84856,0.60854,0.92444,0.9727,0.97248,0.9868,0.84443,0.59072,0.43025,0.83703,0.000387433,0.000387433,0.000387433
17,842.14,0.83043,0.59383,0.91725,0.97839,0.96235,0.98866,0.85482,0.5895,0.42392,0.83494,0.000382928,0.000382928,0.000382928
18,891.803,0.83255,0.58688,0.91691,0.97625,0.97756,0.9891,0.85774,0.57516,0.40932,0.83231,0.000378423,0.000378423,0.000378423
19,941.384,0.83133,0.58647,0.91803,0.97625,0.97182,0.98812,0.86158,0.5613,0.41128,0.83065,0.000373919,0.000373919,0.000373919
20,991.018,0.80679,0.56661,0.91444,0.96999,0.97183,0.98747,0.86032,0.56859,0.40454,0.83123,0.000369415,0.000369415,0.000369415
21,1040.54,0.81106,0.55818,0.91141,0.97482,0.97147,0.9879,0.8604,0.57266,0.40704,0.83196,0.00036491,0.00036491,0.00036491
22,1090,0.79952,0.54891,0.9102,0.97028,0.96614,0.98708,0.85202,0.57796,0.41223,0.83454,0.000360406,0.000360406,0.000360406
23,1139.41,0.79182,0.53911,0.90928,0.974,0.98027,0.98863,0.8635,0.56283,0.38598,0.82857,0.000355901,0.000355901,0.000355901
24,1188.83,0.79215,0.53765,0.90996,0.96699,0.96965,0.98484,0.85318,0.58932,0.42062,0.83413,0.000351396,0.000351396,0.000351396
25,1238.32,0.78668,0.53324,0.90921,0.96803,0.97712,0.98749,0.86394,0.56111,0.39135,0.82888,0.000346892,0.000346892,0.000346892
26,1287.78,0.77993,0.52683,0.90692,0.97881,0.98022,0.98882,0.86477,0.55823,0.37618,0.83106,0.000342387,0.000342387,0.000342387
27,1337.25,0.77627,0.52123,0.90573,0.97929,0.97482,0.9882,0.86195,0.56368,0.38556,0.83059,0.000337883,0.000337883,0.000337883
28,1386.65,0.7722,0.51757,0.90278,0.97781,0.98026,0.98884,0.86305,0.56641,0.3736,0.83153,0.000333379,0.000333379,0.000333379
29,1436.12,0.76693,0.51301,0.90356,0.97633,0.9701,0.98895,0.87175,0.5562,0.38369,0.83032,0.000328874,0.000328874,0.000328874
30,1485.72,0.76175,0.50806,0.90185,0.97641,0.97728,0.98834,0.86762,0.54481,0.37117,0.8271,0.000324369,0.000324369,0.000324369
31,1535.16,0.75536,0.49662,0.89633,0.98447,0.97619,0.98907,0.86887,0.55848,0.36713,0.82849,0.000319865,0.000319865,0.000319865
32,1584.71,0.75134,0.4858,0.89654,0.98098,0.97598,0.98804,0.87441,0.54085,0.36179,0.82616,0.00031536,0.00031536,0.00031536
33,1634.35,0.74596,0.48594,0.89638,0.98091,0.97512,0.98913,0.87131,0.54218,0.36339,0.82473,0.000310856,0.000310856,0.000310856
34,1684.03,0.74684,0.4828,0.89645,0.98306,0.97704,0.98905,0.86869,0.54845,0.3628,0.82787,0.000306351,0.000306351,0.000306351
35,1733.88,0.74489,0.48141,0.89688,0.9815,0.97547,0.98816,0.86887,0.54261,0.36259,0.82567,0.000301847,0.000301847,0.000301847
36,1784.28,0.73601,0.4761,0.89449,0.97832,0.97925,0.98965,0.87574,0.53121,0.35149,0.82415,0.000297342,0.000297342,0.000297342
37,1833.92,0.73837,0.47541,0.89213,0.98073,0.9806,0.98952,0.87921,0.52245,0.34704,0.82124,0.000292838,0.000292838,0.000292838
38,1883.46,0.7292,0.46567,0.89219,0.98439,0.97431,0.99008,0.86877,0.55236,0.3484,0.82679,0.000288333,0.000288333,0.000288333
39,1932.97,0.72899,0.46636,0.89059,0.98467,0.97925,0.9895,0.87591,0.5373,0.34445,0.82392,0.000283829,0.000283829,0.000283829
40,1982.46,0.72123,0.45974,0.88752,0.98117,0.97487,0.98879,0.87289,0.53866,0.3548,0.82408,0.000279325,0.000279325,0.000279325
41,2032,0.71821,0.45668,0.89021,0.98277,0.97895,0.98882,0.87843,0.52682,0.343,0.82334,0.00027482,0.00027482,0.00027482
42,2081.51,0.71002,0.45098,0.88711,0.97772,0.97914,0.98936,0.87911,0.52426,0.34,0.82308,0.000270316,0.000270316,0.000270316
43,2131.07,0.71399,0.45658,0.88898,0.97828,0.98212,0.98883,0.87697,0.5342,0.34627,0.82273,0.000265811,0.000265811,0.000265811
44,2180.65,0.71112,0.4543,0.88937,0.97701,0.97716,0.98817,0.8774,0.52968,0.34413,0.82191,0.000261307,0.000261307,0.000261307
45,2230.26,0.70719,0.44662,0.88439,0.97717,0.98138,0.98937,0.87989,0.51941,0.3362,0.8211,0.000256802,0.000256802,0.000256802
46,2279.91,0.70506,0.44242,0.88389,0.98328,0.98317,0.98923,0.87972,0.52664,0.33211,0.82243,0.000252298,0.000252298,0.000252298
47,2329.53,0.70367,0.4422,0.88391,0.97998,0.97725,0.98846,0.8795,0.52193,0.3348,0.82184,0.000247793,0.000247793,0.000247793
48,2379.11,0.69503,0.43475,0.88167,0.98177,0.98211,0.98927,0.88467,0.51169,0.33013,0.81977,0.000243289,0.000243289,0.000243289
