epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.4652,0.86011,2.18472,0.97328,0.84711,0.85443,0.92767,0.73919,0.75337,0.77263,0.91611,0.000149333,0.000149333,0.000149333
2,191.905,0.7613,0.87374,0.9274,0.87109,0.89214,0.94491,0.77469,0.68306,0.69831,0.89682,0.00029802,0.00029802,0.00029802
3,291.031,0.78323,0.80605,0.9343,0.87574,0.8696,0.93598,0.77593,0.67666,0.688,0.89685,0.000443704,0.000443704,0.000443704
4,389.997,0.76327,0.73781,0.9233,0.84667,0.82308,0.89339,0.72649,0.68538,0.92064,0.89264,0.000441486,0.000441486,0.000441486
5,488.303,0.75978,0.69898,0.9322,0.92498,0.94898,0.97723,0.82367,0.63818,0.53607,0.88861,0.000436982,0.000436982,0.000436982
6,587.235,0.71879,0.64546,0.92365,0.94137,0.94354,0.97495,0.82275,0.61603,0.50569,0.87723,0.000432478,0.000432478,0.000432478
7,685.563,0.71413,0.59983,0.90969,0.94336,0.93567,0.97531,0.82808,0.63731,0.50867,0.88432,0.000427973,0.000427973,0.000427973
8,784.279,0.70687,0.57776,0.91146,0.95544,0.93782,0.98152,0.83836,0.61117,0.47949,0.87433,0.000423468,0.000423468,0.000423468
9,882.905,0.71221,0.55767,0.91689,0.96485,0.94652,0.98199,0.84806,0.58951,0.45502,0.87433,0.000418964,0.000418964,0.000418964
10,982.034,0.70956,0.54895,0.91857,0.96079,0.9569,0.9828,0.83261,0.62048,0.44831,0.88471,0.00041446,0.00041446,0.00041446
11,1080.29,0.68595,0.5387,0.91066,0.96094,0.96678,0.98736,0.84601,0.60081,0.43114,0.87336,0.000409955,0.000409955,0.000409955
12,1178.55,0.68807,0.51321,0.90501,0.95408,0.94677,0.98104,0.84544,0.59599,0.45927,0.8771,0.000405451,0.000405451,0.000405451
13,1276.75,0.6787,0.5138,0.90713,0.96004,0.94883,0.98434,0.8515,0.58605,0.46888,0.87601,0.000400946,0.000400946,0.000400946
14,1375.59,0.66312,0.50714,0.89911,0.95431,0.94348,0.98208,0.85448,0.57496,0.45624,0.87104,0.000396441,0.000396441,0.000396441
15,1474.36,0.66442,0.49289,0.90337,0.97891,0.97226,0.98794,0.86113,0.56966,0.38872,0.87056,0.000391937,0.000391937,0.000391937
16,1573.04,0.66041,0.48842,0.90785,0.96826,0.97249,0.98774,0.85678,0.58958,0.402,0.87514,0.000387433,0.000387433,0.000387433
17,1671.33,0.65413,0.47771,0.89601,0.97702,0.98144,0.9859,0.85614,0.5895,0.39642,0.87337,0.000382928,0.000382928,0.000382928
18,1769.55,0.65244,0.4676,0.90022,0.96727,0.97431,0.98839,0.86087,0.56807,0.39309,0.87158,0.000378423,0.000378423,0.000378423
19,1867.79,0.63938,0.45131,0.89504,0.9583,0.97536,0.98851,0.86333,0.574,0.4107,0.86555,0.000373919,0.000373919,0.000373919
20,1966.4,0.63338,0.45062,0.88711,0.97507,0.97087,0.98796,0.86738,0.56827,0.39549,0.86902,0.000369415,0.000369415,0.000369415
21,2065.3,0.62796,0.44991,0.89278,0.97691,0.9746,0.98599,0.861,0.57579,0.37873,0.86842,0.00036491,0.00036491,0.00036491
22,2163.32,0.63073,0.45297,0.89272,0.97139,0.97559,0.98805,0.86836,0.55075,0.37977,0.86261,0.000360406,0.000360406,0.000360406
23,2262.28,0.61377,0.44013,0.88561,0.96449,0.95158,0.97993,0.85898,0.56614,0.41482,0.86285,0.000355901,0.000355901,0.000355901
