epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.6499,0.90997,2.88338,0.98625,0.76408,0.75805,0.82684,0.68642,0.68148,1.06505,0.8861,0.000149333,0.000149333,0.000149333
2,74.49,0.77297,1.13606,0.92449,0.881,0.89167,0.95019,0.79809,0.64198,0.67196,0.87109,0.00029802,0.00029802,0.00029802
3,113.006,0.77818,0.87864,0.92135,0.90486,0.92241,0.96519,0.79397,0.66896,0.60513,0.88089,0.000443704,0.000443704,0.000443704
4,151.253,0.77086,0.76405,0.9183,0.91135,0.91657,0.96294,0.79369,0.67669,0.61279,0.88468,0.000441486,0.000441486,0.000441486
5,189.574,0.7397,0.69449,0.91605,0.93846,0.94022,0.97967,0.83435,0.60062,0.50429,0.86589,0.000436982,0.000436982,0.000436982
6,228.224,0.72114,0.64561,0.91078,0.96333,0.9353,0.97606,0.81361,0.63961,0.49422,0.87402,0.000432478,0.000432478,0.000432478
7,266.699,0.71431,0.61587,0.89948,0.94722,0.96002,0.98003,0.83267,0.60933,0.47642,0.86455,0.000427973,0.000427973,0.000427973
8,305.284,0.71747,0.60118,0.90501,0.97034,0.95876,0.98572,0.84791,0.58641,0.43614,0.85854,0.000423468,0.000423468,0.000423468
9,343.885,0.69447,0.57201,0.89822,0.97521,0.95522,0.98479,0.8504,0.58639,0.43497,0.85385,0.000418964,0.000418964,0.000418964
10,382.496,0.69551,0.55492,0.90085,0.96604,0.96822,0.98559,0.85254,0.57779,0.41605,0.85419,0.00041446,0.00041446,0.00041446
11,421.119,0.68795,0.53954,0.89757,0.95509,0.96887,0.98355,0.84282,0.59769,0.43594,0.85923,0.000409955,0.000409955,0.000409955
12,459.458,0.67584,0.52811,0.89187,0.96186,0.96439,0.98203,0.84786,0.58159,0.42176,0.85607,0.000405451,0.000405451,0.000405451
13,497.849,0.67889,0.53075,0.89559,0.97692,0.96231,0.98463,0.84799,0.58299,0.41266,0.85538,0.000400946,0.000400946,0.000400946
14,536.172,0.65895,0.51653,0.88527,0.97774,0.97351,0.98861,0.8585,0.56613,0.39876,0.85038,0.000396441,0.000396441,0.000396441
15,574.903,0.65763,0.51344,0.8886,0.97837,0.96207,0.98807,0.85719,0.57486,0.39889,0.84843,0.000391937,0.000391937,0.000391937
16,613.228,0.66522,0.4982,0.89189,0.97165,0.97056,0.98766,0.85721,0.57366,0.40128,0.84629,0.000387433,0.000387433,0.000387433
17,651.563,0.65371,0.48961,0.88219,0.97615,0.97141,0.98575,0.85526,0.57879,0.39394,0.84693,0.000382928,0.000382928,0.000382928
18,689.946,0.65011,0.47814,0.88177,0.97994,0.96608,0.98656,0.86365,0.55738,0.38436,0.84182,0.000378423,0.000378423,0.000378423
19,728.567,0.64259,0.47023,0.8779,0.974,0.97487,0.98745,0.8612,0.56278,0.37829,0.83982,0.000373919,0.000373919,0.000373919
